time,price
20241105,792
20241104,793
20241103,793
20241102,794
20241030,800
20241029,800
20241028,824
20241027,830
20241026,825
20241023,827
20241022,827
20241021,838
20241020,838
20241019,838
20241016,838
20241015,841
20241014,842
20241013,844
20241012,850
20241009,856
20241008,857
20241007,859
20241006,861
20241005,865
20241002,866
20241001,866
20240930,867
20240929,865
20240928,863
20240925,865
20240924,856
20240923,852
20240922,845
20240918,839
20240917,824
20240916,819
20240915,824
20240914,827
20240911,825
20240910,830
20240909,835
20240908,842
20240907,822
20240903,822
20240901,822
20240831,818
20240828,814
20240827,808
20240826,805
20240824,803
20240821,799
20240820,795
20240819,798
20240818,809
20240817,817
20240814,830
20240813,831
20240812,832
20240811,835
20240810,835
20240806,835
20240805,835
20240804,835
20240803,835
20240731,835
20240730,835
20240729,848
20240727,853
20240724,858
20240723,863
20240722,866
20240721,866
20240720,866
20240717,866
20240714,866
20240713,873
20240710,881
20240709,887
20240708,900
20240707,910
20240706,900
20240703,892
20240702,895
20240701,902
20240630,913
20240629,916
20240626,942
20240624,935
20240623,947
20240622,947
20240619,948
20240618,949
20240616,949
20240615,949
20240612,949
20240611,949
20240610,950
20240609,964
20240608,965
20240605,965
20240602,967
20240601,975
20240529,988
20240528,988
20240527,988
20240526,989
20240525,989
20240521,991
20240520,994
20240519,994
20240518,1003
20240515,994
20240514,1023
20240513,1041
20240512,1047
20240511,1047
20240508,1047
20240507,1065
20240506,1065
20240505,1084
20240501,1083
20240430,1113
20240429,1128
20240428,1132
20240427,1164
20240424,1152
20240423,1155
20240422,1161
20240421,1160
20240420,1158
20240417,1144
20240416,1150
20240415,1153
20240414,1147
20240413,1148
20240409,1182
20240408,1182
20240407,1163
20240406,1198
20240403,1231
20240402,1265
20240330,1303
20240327,1297
20240326,1260
20240325,1236
20240324,1202
20240318,1193
20240317,1182
20240316,1170
20240313,1151
20240312,1133
20240311,1130
20240310,1141
20240306,1132
20240305,1141
20240304,1145
20240303,1142
20240302,1142
20240228,1129
20240227,1135
20240226,1138
20240224,1160
20240221,1175
20240220,1189
20240219,1190
20240218,1183
20240217,1189
20240214,1215
20240213,1250
20240212,1265
20240210,1243
20240207,1223
20240206,1190
20240205,1197
20240204,1213
20240203,1235
20240131,1263
20240130,1253
20240129,1253
20240128,1219
20240127,1204
20240124,1180
20240123,1179
20240122,1214
20240121,1215
20240120,1246
20240117,1266
20240116,1231
20240115,1265
20240114,1288
20240113,1288
20240110,1322
20240109,1341
20240108,1324
20240107,1354
20240106,1374
20240103,1374
20240102,1369
20240101,1407
20231231,1373
20231230,1341
20231227,1312
20231226,1287
20231225,1321
20231224,1355
20231223,1379
20231220,1393
20231219,1393
20231218,1393
20231216,1385
20231213,1368
20231212,1365
20231211,1402
20231210,1411
20231209,1438
20231206,1405
20231205,1365
20231204,1345
20231203,1355
20231202,1385
20231129,1385
20231128,1385
20231127,1423
20231126,1457
20231125,1478
20231122,1517
20231121,1483
20231120,1509
20231119,1515
20231118,1542
20231115,1539
20231114,1511
20231113,1477
20231112,1438
20231111,1416
20231108,1416
20231107,1378
20231106,1348
20231105,1389
20231104,1389
20231101,1431
20231031,1475
20231030,1520
20231029,1566
20231028,1614
20231025,1663
20231024,1714
20231023,1767
20231022,1821
20231021,1821
20231018,1821
20231017,1821
20231016,1830
20231015,1831
20231014,1831
20231011,1832
20231010,1834
20231009,1835
20231008,1839
20231007,1839
20231004,1839
20231002,1840
20231001,1840
20230930,1841
20230927,1850
20230926,1851
20230925,1855
20230923,1857
20230920,1859
20230919,1861
20230918,1881
20230917,1881
20230913,1881
20230912,1881
20230911,1881
20230910,1885
20230909,1886
20230905,1888
20230904,1923
20230903,1926
20230902,1926
20230830,1926
20230829,1926
20230828,1926
20230827,1929
20230826,1945
20230823,1947
20230822,1954
20230821,1954
20230820,1955
20230819,1955
20230816,1955
20230815,1955
20230814,1959
20230813,1963
20230812,1964
20230809,1964
20230808,1967
20230807,1969
20230806,1975
20230805,1975
20230801,1975
20230731,1992
20230730,1992
20230729,1992
20230726,1994
20230725,1999
20230724,2002
20230723,2010
20230722,2016
20230719,2016
20230718,2016
20230717,2031
20230716,2032
20230715,2032
20230712,2041
20230711,2046
20230710,2054
20230709,2083
20230708,2106
20230705,2106
20230704,2106
20230703,2119
20230702,2071
20230701,2130
20230628,2075
20230627,2034
20230626,2000
20230625,1977
20230624,2033
20230621,2040
20230620,2035
20230619,2016
20230618,1958
20230617,1921
20230614,1866
20230613,1833
20230612,1783
20230611,1752
20230610,1703
20230607,1666
20230606,1626
20230603,1593
20230531,1547
20230530,1540
20230529,1499
20230528,1535
20230527,1582
20230524,1582
20230523,1537
20230522,1558
20230521,1603
20230520,1641
20230517,1612
20230515,1657
20230514,1684
20230513,1726
20230510,1768
20230509,1780
20230508,1729
20230507,1715
20230506,1855
20230503,1855
20230502,1855
20230501,1814
20230430,1780
20230429,1746
20230426,1714
20230425,1689
20230424,1662
20230419,1634
20230418,1604
20230417,1558
20230416,1513
20230415,1469
20230411,1453
20230410,1453
20230409,1437
20230408,1397
20230405,1362
20230404,1328
20230403,1296
20230329,1269
20230328,1238
20230326,1167
20230325,1145
20230319,1143
20230318,1161
20230315,1184
20230314,1154
20230313,1140
20230312,1111
20230311,1145
20230307,1116
20230306,1085
20230305,1061
20230304,1044
20230301,1017
20230228,1026
20230227,1041
20230226,1072
20230225,1085
20230222,1054
20230221,1067
20230220,1037
20230219,1007
20230215,1007
20230214,1007
20230213,1008
20230212,1026
20230208,1053
20230207,1082
20230206,1114
20230205,1119
20230201,1132
20230131,1105
20230130,1078
20230129,1087
